2026-04-28	缶コーヒー	PayPay	食費	298
2026-04-28	食料	PayPay	食費	685
2026-04-29	amazon-prime	三井住友銀行	一般サブスク	600
2026-04-29	食料	PayPay	食費	2455
2026-04-29	タバコ	PayPay	タバコ	500
2026-04-29	缶コーヒー	PayPay	食費	138
2026-04-30	タバコ	PayPay	タバコ	500
2026-04-30	缶コーヒー	PayPay	食費	138
2026-04-30	食品 ; method: amazonにんにくまとめ買い	PayPay	食費ストック	1290
2026-04-30	健康保険料	PayPay	保険料	2000
2026-05-01	缶コーヒー	PayPay	食費	340
2026-05-02	缶コーヒー	PayPay	食費	170
2026-05-02	タバコ	PayPay	タバコ	500
2026-05-02	缶コーヒー	PayPay	食費	138
2026-05-02	pasmoチャージ	三井住友銀行	交通費	1000
2026-05-03	食品	PayPay	食費	1286
2026-05-04	缶コーヒー	PayPay	食費	160
2026-05-04	タバコ	PayPay	タバコ	500
2026-05-04	缶コーヒー	PayPay	食費	138
2026-05-04	お米	三井住友銀行	食費ストック	3456
2026-05-04	smbc→paypay	三井住友銀行	PayPay	10000
2026-05-05	缶コーヒー	PayPay	食費	160
2026-05-05	資金移動	三井住友銀行	PayPay	2785
2026-05-05	調整用ポイント	ポイント収入	PayPay	9
2026-05-05	コンビニ	PayPay	タバコ	500
2026-05-05	コンビニ	PayPay	缶コーヒー	138
2026-05-06	ゲーム課金(アークナイツ)	三井住友銀行	一般サブスク	650
2026-05-06	コンビニ	PayPay	タバコ	500
2026-05-06	コンビニ	PayPay	缶コーヒー	138
2026-05-06	三和	PayPay	食費	1098
2026-05-06	自動販売機	PayPay	缶コーヒー	160
2026-05-06	自動販売機	PayPay	缶コーヒー	100
2026-05-07	自動販売機	PayPay	缶コーヒー	160
2026-05-07	コンビニ	PayPay	タバコ	500
2026-05-07	コンビニ	PayPay	缶コーヒー	138
2026-05-08	現金引き出し(1000円は子ども食堂カレー代)	三井住友銀行	予備費	2000
2026-05-08	散髪代	PayPay	日用品	2200
2026-05-08	自動販売機	PayPay	缶コーヒー	320
2026-05-08	ATM手数料	三井住友銀行	予備費	110
2026-05-09	コンビニ	PayPay	タバコ	500
2026-05-10	povoチャージ(利用料？)	三井住友銀行	通信費	330
2026-05-10	コンビニ	PayPay	タバコ	500
2026-05-10	コンビニ	PayPay	缶コーヒー	138
2026-05-11	コンビニ	PayPay	タバコ	500
2026-05-11	コンビニ	PayPay	缶コーヒー	116
2026-05-11	Yahoo!フリマ_c言語書籍	PayPay	学習費	500
2026-05-12	資金移動	三井住友銀行	PayPay	10000
2026-05-12	三和	PayPay	食費	1671
2026-05-12	コンビニ	PayPay	タバコ	500
